key_ratio,optimizer_seed,iteration,stage,fitness
0.03,0,66,stage1,4322567.582018946
0.03,0,67,stage1,4322435.530821516
0.03,0,68,stage1,4322295.356194289
0.03,0,69,stage1,4322146.688973318
0.03,0,70,stage1,4321989.148976044
0.03,0,71,stage1,4321822.344839261
0.03,0,72,stage1,4321645.8738570735
0.03,0,73,stage1,4321459.321818863
0.03,0,74,stage1,4321262.262847247
0.03,0,75,stage1,4321054.2592360405
0.03,0,76,stage1,4320834.861288218
0.03,0,77,stage1,4320603.607153877
0.03,0,78,stage1,4320360.022668194
0.03,0,79,stage1,4320103.621189393
0.03,0,80,stage1,4319833.903436704
0.03,0,81,stage1,4319550.357328323
0.03,0,82,stage1,4319252.457819377
0.03,0,83,stage1,4318939.666739883
0.03,0,84,stage1,4318611.43263271
0.03,0,85,stage1,4318267.190591542
0.03,0,86,stage1,4317906.362098838
0.03,0,87,stage1,4317528.354863796
0.03,0,88,stage1,4317132.562660312
0.03,0,89,stage1,4316718.365164941
0.03,0,90,stage1,4316285.127794863
0.03,0,91,stage1,4315832.201545838
0.03,0,92,stage1,4315358.9228301775
0.03,0,93,stage1,4314864.613314694
0.03,0,94,stage1,4314348.579758671
0.03,0,95,stage1,4313810.113851823
0.03,0,96,stage1,4313248.492052257
0.03,0,97,stage1,4312662.975424429
0.03,0,98,stage1,4312052.809477117
0.03,0,99,stage1,4311417.22400137
0.03,0,100,stage1,4310755.43290848
0.03,0,101,stage1,4310066.634067933
0.03,0,102,stage1,4309350.009145383
0.03,0,103,stage1,4308604.723440603
0.03,0,104,stage1,4307829.925725453
0.03,0,105,stage1,4307024.748081839
0.03,0,106,stage1,4306188.305739672
0.03,0,107,stage1,4305319.696914838
0.03,0,108,stage1,4304418.00264715
0.03,0,109,stage1,4303482.286638318
0.03,0,110,stage1,4302511.595089903
0.03,0,111,stage1,4301504.956541281
0.03,0,112,stage1,4300461.3817076115
0.03,0,113,stage1,4299379.863317788
0.03,0,114,stage1,4298259.375952407
0.03,0,115,stage1,4297098.875881728
0.03,0,116,stage1,4295897.300903634
0.03,0,117,stage1,4294653.570181593
0.03,0,118,stage1,4293366.584082623
0.03,0,119,stage1,4292035.224015249
0.03,0,120,stage1,4290658.3522674665
0.03,0,121,stage1,4289234.811844706
0.03,0,122,stage1,4287763.426307787
0.03,0,123,stage1,4286242.999610892
0.03,0,124,stage1,4284672.315939511
0.03,0,125,stage1,4283050.139548423
0.03,0,126,stage1,4281375.214599637
0.03,0,127,stage1,4279646.265000374
0.03,0,128,stage1,4277861.994241011
0.03,0,129,stage1,4276021.085233054
0.03,0,130,stage1,4274122.200147095
0.03,0,131,stage1,4272163.980250775
0.03,0,132,stage1,4270145.045746745
0.03,0,133,stage1,4268063.859925236
0.03,0,134,stage1,4265919.142634204
0.03,0,135,stage1,4263709.572442467
0.03,0,136,stage1,4261433.554562958
0.03,0,137,stage1,4259089.601442796
0.03,0,138,stage1,4256676.20349189
0.03,0,139,stage1,4254191.828920884
0.03,0,140,stage1,4251634.923579128
0.03,0,141,stage1,4249003.910792638
0.03,0,142,stage1,4246297.191202051
0.03,0,143,stage1,4243513.142600597
0.03,0,144,stage1,4240650.119772051
0.03,0,145,stage1,4237706.4543287065
0.03,0,146,stage1,4234680.454549321
0.03,0,147,stage1,4231570.40521709
0.03,0,148,stage1,4228374.567457607
0.03,0,149,stage1,4225091.1785768205
0.03,0,150,stage1,4221718.4518989995
0.03,0,151,stage1,4218254.57660469
0.03,0,152,stage1,4214697.717568687
0.03,0,153,stage1,4211046.015197984
0.03,0,154,stage1,4207297.585269744
0.03,0,155,stage1,4203450.518769253
0.03,0,156,stage1,4199502.88172789
0.03,0,157,stage1,4195452.715061081
0.03,0,158,stage1,4191298.0344062676
0.03,0,159,stage1,4187036.8299608626
0.03,0,160,stage1,4182667.0663202144
0.03,0,161,stage1,4178186.68231557
0.03,0,162,stage1,4173593.5908520315
0.03,0,163,stage1,4168885.6787465257
0.03,0,164,stage1,4164060.8065657583
0.03,0,165,stage1,4159116.808464178
0.03,0,166,stage1,4154051.4920219397
0.03,0,167,stage1,4148862.638082866
0.03,0,168,stage1,4143548.0005924064
0.03,0,169,stage1,4138105.306435599
0.03,0,170,stage1,4132532.2552750357
0.03,0,171,stage1,4126826.519388821
0.03,0,172,stage1,4120985.7435085326
0.03,0,173,stage1,4115007.5446571866
0.03,0,174,stage1,4108889.511987195
0.03,0,175,stage1,4102629.206618331
0.03,0,176,stage1,4096224.1614756896
0.03,0,177,stage1,4089671.881127646
0.03,0,178,stage1,4082969.8416238213
0.03,0,179,stage1,4076115.490333043
0.03,0,180,stage1,4069106.2457813052
0.03,0,181,stage1,4061939.4974897327
0.03,0,182,stage1,4054612.6058125403
0.03,0,183,stage1,4047122.9017749946
0.03,0,184,stage1,4039467.6869113776
0.03,0,185,stage1,4031644.2331029465
0.03,0,186,stage1,4023649.7824158967
0.03,0,187,stage1,4015481.54693932
0.03,0,188,stage1,4007136.708623171
0.03,0,189,stage1,3998612.419116225
0.03,0,190,stage1,3989905.799604045
0.03,0,191,stage1,3981013.940646934
0.03,0,192,stage1,3971933.9020179044
0.03,0,193,stage1,3962662.712540639
0.03,0,194,stage1,3953197.3699274487
0.03,0,195,stage1,3943534.3479210273
0.03,0,196,stage1,3933671.56691725
0.03,0,197,stage1,3923605.4376258785
0.03,0,198,stage1,3913332.831693364
0.03,0,199,stage1,3902850.588844591
0.03,0,200,stage1,3892155.475154641
0.03,0,1,stage2,2165024.2512091156
0.03,0,2,stage2,2022220.9582775307
0.03,0,3,stage2,2022220.958144661
0.03,0,4,stage2,2022220.9576528547
0.03,0,5,stage2,2022220.9563298267
0.03,0,6,stage2,1865640.8475538578
0.03,0,7,stage2,1824456.070799227
0.03,0,8,stage2,1295349.4514654968
0.03,0,9,stage2,1295349.4408957036
0.03,0,10,stage2,1295349.424425874
0.03,0,11,stage2,1295349.3998721496
0.03,0,12,stage2,1295349.3645680519
0.03,0,13,stage2,1295349.3153162189
0.03,0,14,stage2,1295349.248340145
0.03,0,15,stage2,1295349.1592359175
0.03,0,16,stage2,1295349.0429239545
0.03,0,17,stage2,1295348.8936007435
0.03,0,18,stage2,1295348.704690579
0.03,0,19,stage2,1295348.4687973007
0.03,0,20,stage2,1295348.177656031
0.03,0,21,stage2,1295347.8220849133
0.03,0,22,stage2,1295347.3919368498
0.03,0,23,stage2,1295346.8760512397
0.03,0,24,stage2,1295346.262205716
0.03,0,25,stage2,1295345.537067886
0.03,0,26,stage2,1295344.6861470658
0.03,0,27,stage2,1295343.6937460215
0.03,0,28,stage2,1295342.5429127049
0.03,0,29,stage2,1295341.2153919924
0.03,0,30,stage2,1295339.6915774227
0.03,0,31,stage2,1295337.9504629348
0.03,0,32,stage2,1295335.9695946062
0.03,0,33,stage2,1295333.7250223903
0.03,0,34,stage2,1295331.1912518546
0.03,0,35,stage2,1295328.341195919
0.03,0,36,stage2,1295325.1461265932
0.03,0,37,stage2,1295321.5756267149
0.03,0,38,stage2,1295317.5975416873
0.03,0,39,stage2,1295313.1779312184
0.03,0,40,stage2,1295308.281021057
0.03,0,41,stage2,1295302.8691547322
0.03,0,42,stage2,1295296.9027452902
0.03,0,43,stage2,1295290.3402270335
0.03,0,44,stage2,1295283.1380072578
0.03,0,45,stage2,1295275.2504179901
0.03,0,46,stage2,1295266.6296677273
0.03,0,47,stage2,1295257.2257931735
0.03,0,48,stage2,1295246.9866109774
0.03,0,49,stage2,1295235.8576694722
0.03,0,50,stage2,1295223.7822004114
0.03,0,51,stage2,1295210.701070708
0.03,0,52,stage2,1295196.5527341717
0.03,0,53,stage2,1295181.2731832478
0.03,0,54,stage2,1295164.7959007542
0.03,0,55,stage2,1295147.0518116197
0.03,0,56,stage2,1295127.969234622
0.03,0,57,stage2,1295107.4738341258
0.03,0,58,stage2,1295085.4885718198
0.03,0,59,stage2,1295061.933658457
0.03,0,60,stage2,1295036.7265055885
0.03,0,61,stage2,1295009.7816773062
0.03,0,62,stage2,1294981.0108419773
0.03,0,63,stage2,1294950.322723984
0.03,0,64,stage2,1294917.6230554606
0.03,0,65,stage2,1294882.8145280317
0.03,0,66,stage2,1294845.7967445503
0.03,0,67,stage2,1294806.466170836
0.03,0,68,stage2,1294764.716087411
0.03,0,69,stage2,1294720.4365412416
0.03,0,70,stage2,1294673.5142974728
0.03,0,71,stage2,1294623.8327911682
0.03,0,72,stage2,1294571.2720790466
0.03,0,73,stage2,1294515.7087912217
0.03,0,74,stage2,1294457.016082938
0.03,0,75,stage2,1294395.0635863105
0.03,0,76,stage2,1294329.7173620614
0.03,0,77,stage2,1294260.8398512583
0.03,0,78,stage2,1294188.289827053
0.03,0,79,stage2,1294111.9223464185
0.03,0,80,stage2,1294031.5887018873
0.03,0,81,stage2,1293947.136373289
0.03,0,82,stage2,1293858.4089794892
0.03,0,83,stage2,1293765.2462301257
0.03,0,84,stage2,1293667.4838773482
0.03,0,85,stage2,1293564.9536675564
0.03,0,86,stage2,1293457.4832931352
0.03,0,87,stage2,1293344.8963441956
0.03,0,88,stage2,1293227.0122603117
0.03,0,89,stage2,1293103.6462822584
0.03,0,90,stage2,1292974.609403749
0.03,0,91,stage2,1292839.7083231744
0.03,0,92,stage2,1292698.7453953393
0.03,0,93,stage2,1292551.518583202
0.03,0,94,stage2,1292397.8214096106
0.03,0,95,stage2,1292237.4429090424
0.03,0,96,stage2,1292070.167579341
0.03,0,97,stage2,1291895.7753334544
0.03,0,98,stage2,1291714.0414511727
0.03,0,99,stage2,1291524.7365308672
0.03,0,100,stage2,1291327.6264412263
0.03,0,101,stage2,1291122.4722729959
0.03,0,102,stage2,1290909.0302907147
0.03,0,103,stage2,1290687.0518844544
0.03,0,104,stage2,1290456.283521557
0.03,0,105,stage2,1290216.4666983713
0.03,0,106,stage2,1289967.337891993
0.03,0,107,stage2,1289708.6285120014
0.03,0,108,stage2,1289440.064852198
0.03,0,109,stage2,1289161.3680423426
0.03,0,110,stage2,1288872.2539998947
0.03,0,111,stage2,1288572.4333817482
0.03,0,112,stage2,1288261.6115359708
0.03,0,113,stage2,1287939.4884535414
0.03,0,114,stage2,1287605.7587200892
0.03,0,115,stage2,1287260.1114676304
0.03,0,116,stage2,1286902.2303263058
0.03,0,117,stage2,1286531.7933761207
0.03,0,118,stage2,1286148.4730986804
0.03,0,119,stage2,1285751.9363289308
0.03,0,120,stage2,1285341.8442068934
0.03,0,121,stage2,1284917.8521294058
0.03,0,122,stage2,1284479.6097018581
0.03,0,123,stage2,1284026.760689932
0.03,0,124,stage2,1283558.9429713364
0.03,0,125,stage2,1283075.7884875494
0.03,0,126,stage2,1282576.923195552
0.03,0,127,stage2,1282061.9670195684
0.03,0,128,stage2,1281530.5338028036
0.03,0,129,stage2,1280982.2312591814
0.03,0,130,stage2,1280416.6609250812
0.03,0,131,stage2,1279833.4181110782
0.03,0,132,stage2,1279232.091853679
0.03,0,133,stage2,1278612.2648670608
0.03,0,134,stage2,1277973.5134948094
0.03,0,135,stage2,1277315.4076616562
0.03,0,136,stage2,1276637.5108252175
0.03,0,137,stage2,1275939.379927731
0.03,0,138,stage2,1275220.565347795
0.03,0,139,stage2,1274480.610852105
0.03,0,140,stage2,1273719.053547194
0.03,0,141,stage2,1272935.4238311674
0.03,0,142,stage2,1272129.2453454428
0.03,0,143,stage2,1271300.0349264878
0.03,0,144,stage2,1270447.3025575576
0.03,0,145,stage2,1269570.5513204332
0.03,0,146,stage2,1268669.2773471589
0.03,0,147,stage2,1267742.9697717803
0.03,0,148,stage2,1266791.1106820833
0.03,0,149,stage2,1265813.1750713303
0.03,0,150,stage2,1264808.63079
0.03,0,151,stage2,1263776.938497523
0.03,0,152,stage2,1262717.5516140228
0.03,0,153,stage2,1261629.9162720512
0.03,0,154,stage2,1260513.4712683267
0.03,0,155,stage2,1259367.6480154737
0.03,0,156,stage2,1258191.8704937592
0.03,0,157,stage2,1256985.555202831
0.03,0,158,stage2,1255748.1111134563
0.03,0,159,stage2,1254478.9396192583
0.03,0,160,stage2,1253177.4344884562
0.03,0,161,stage2,1251842.9818156008
0.03,0,162,stage2,1250474.9599733134
0.03,0,163,stage2,1249072.7395640253
0.03,0,164,stage2,1247635.6833717132
0.03,0,165,stage2,1246163.146313638
0.03,0,166,stage2,1244654.4753920839
0.03,0,167,stage2,1243109.0096460953
0.03,0,168,stage2,1241526.0801032146
0.03,0,169,stage2,1239905.0097312205
0.03,0,170,stage2,1238245.1133898657
0.03,0,171,stage2,1236545.6977826157
0.03,0,172,stage2,1234806.061408385
0.03,0,173,stage2,1233025.4945132772
0.03,0,174,stage2,1231203.2790423213
0.03,0,175,stage2,1229338.6885912102
0.03,0,176,stage2,1227430.9883580387
0.03,0,177,stage2,1225479.4350950415
0.03,0,178,stage2,1223483.2770603304
0.03,0,179,stage2,1221441.753969634
0.03,0,180,stage2,1219354.0969480332
0.03,0,181,stage2,1217219.5284817014
0.03,0,182,stage2,1215037.2623696416
0.03,0,183,stage2,1212806.5036754229
0.03,0,184,stage2,1210526.448678921
0.03,0,185,stage2,1208196.2848280547
0.03,0,186,stage2,1205815.1906905242
0.03,0,187,stage2,1203382.335905548
0.03,0,188,stage2,1200896.8811356025
0.03,0,189,stage2,1198357.9780181588
0.03,0,190,stage2,1195764.7691174217
0.03,0,191,stage2,1193116.387876066
0.03,0,192,stage2,1190411.958566976
0.03,0,193,stage2,1187650.596244983
0.03,0,194,stage2,1184831.4066986023
0.03,0,195,stage2,1181953.4864017726
0.03,0,196,stage2,1179015.922465593
0.03,0,197,stage2,1176017.7925900614
0.03,0,198,stage2,1172958.1650158123
0.03,0,199,stage2,1169836.098475854
0.03,0,200,stage2,1166650.6421473082
0.03,1,1,stage1,4482039.544924709
0.03,1,2,stage1,4482039.544881322
0.03,1,3,stage1,4482039.544586008
0.03,1,4,stage1,4418206.180789234
0.03,1,5,stage1,4324314.806905953
0.03,1,6,stage1,4324314.800625616
0.03,1,7,stage1,4324314.788430877
0.03,1,8,stage1,4324314.766878421
0.03,1,9,stage1,4324314.731390664
0.03,1,10,stage1,4324314.676093715
0.03,1,11,stage1,4324314.593655337
0.03,1,12,stage1,4324314.475122909
0.03,1,13,stage1,4324314.086977015
0.03,1,14,stage1,4324313.862106897
0.03,1,15,stage1,4324313.562942181
0.03,1,16,stage1,4324313.172428325
0.03,1,17,stage1,4324312.671080215
0.03,1,18,stage1,4324312.036820119
0.03,1,19,stage1,4324311.244815658
0.03,1,20,stage1,4324310.267317755
0.03,1,21,stage1,4324309.073498611
0.03,1,22,stage1,4324307.629289653
0.03,1,23,stage1,4324305.897219507
0.03,1,24,stage1,4324303.836251951
0.03,1,25,stage1,4324301.4016238805
0.03,1,26,stage1,4324298.544683272
0.03,1,27,stage1,4324295.212727142
0.03,1,28,stage1,4324291.348839505
0.03,1,29,stage1,4324286.891729345
0.03,1,30,stage1,4324281.775568566
0.03,1,31,stage1,4324275.929829965
0.03,1,32,stage1,4324269.279125182
0.03,1,33,stage1,4324212.391983162
0.03,1,34,stage1,4324203.88492614
0.03,1,35,stage1,4324194.315950572
0.03,1,36,stage1,4324183.5886031035
0.03,1,37,stage1,4324171.600759045
0.03,1,38,stage1,4324158.244460327
0.03,1,39,stage1,4324143.4057534505
0.03,1,40,stage1,4324126.964527466
0.03,1,41,stage1,4324108.794351925
0.03,1,42,stage1,4324088.762314842
0.03,1,43,stage1,4324066.728860659
0.03,1,44,stage1,4324042.547628204
0.03,1,45,stage1,4324013.90903359
0.03,1,46,stage1,4323984.965128443
0.03,1,47,stage1,4323953.391907459
0.03,1,48,stage1,4323919.014166633
0.03,1,49,stage1,4323881.64908616
0.03,1,50,stage1,4323841.1060683895
0.03,1,51,stage1,4323797.186575794
0.03,1,52,stage1,4323749.68396892
0.03,1,53,stage1,4323698.383344364
0.03,1,54,stage1,4323643.061372723
0.03,1,55,stage1,4323583.486136559
0.03,1,56,stage1,4323519.416968362
0.03,1,57,stage1,4323450.604288513
0.03,1,58,stage1,4323376.789443239
0.03,1,59,stage1,4323297.704542582
0.03,1,60,stage1,4323213.072298358
0.03,1,61,stage1,4323122.605862118
0.03,1,62,stage1,4323026.0086631095
0.03,1,63,stage1,4322922.974246238
0.03,1,64,stage1,4322813.186110031
0.03,1,65,stage1,4322696.317544596
0.03,1,66,stage1,4322572.031469585
0.03,1,67,stage1,4322439.980272156
0.03,1,68,stage1,4322299.805644929
0.03,1,69,stage1,4322151.138423958
0.03,1,70,stage1,4321993.598426684
0.03,1,71,stage1,4321826.794289901
0.03,1,72,stage1,4321650.323307713
0.03,1,73,stage1,4321463.771269502
0.03,1,74,stage1,4321266.712297887
0.03,1,75,stage1,4321058.7086866805
0.03,1,76,stage1,4320839.310738858
0.03,1,77,stage1,4320608.056604516
0.03,1,78,stage1,4320364.472118833
0.03,1,79,stage1,4320108.070640032
0.03,1,80,stage1,4319838.352887343
0.03,1,81,stage1,4319554.806778963
0.03,1,82,stage1,4319256.907270016
0.03,1,83,stage1,4318944.116190522
0.03,1,84,stage1,4318615.882083349
0.03,1,85,stage1,4318271.640042182
0.03,1,86,stage1,4317910.811549478
0.03,1,87,stage1,4317532.804314436
0.03,1,88,stage1,4317137.012110952
0.03,1,89,stage1,4316722.814615581
0.03,1,90,stage1,4316289.577245503
0.03,1,91,stage1,4315836.650996478
0.03,1,92,stage1,4315363.3722808175
0.03,1,93,stage1,4314869.062765334
0.03,1,94,stage1,4314353.02920931
0.03,1,95,stage1,4313814.563302463
0.03,1,96,stage1,4313252.941502896
0.03,1,97,stage1,4312667.4248750685
0.03,1,98,stage1,4312057.258927757
0.03,1,99,stage1,4311421.673452009
0.03,1,100,stage1,4310759.882359119
0.03,1,101,stage1,4310071.083518573
0.03,1,102,stage1,4309354.458596023
0.03,1,103,stage1,4308609.172891242
0.03,1,104,stage1,4307834.375176093
0.03,1,105,stage1,4307029.197532478
0.03,1,106,stage1,4306192.755190311
0.03,1,107,stage1,4305324.146365478
0.03,1,108,stage1,4304422.45209779
0.03,1,109,stage1,4303486.736088958
0.03,1,110,stage1,4302516.044540542
0.03,1,111,stage1,4301432.151018453
0.03,1,112,stage1,4300385.874460711
0.03,1,113,stage1,4299304.356070887
0.03,1,114,stage1,4298179.65228632
0.03,1,115,stage1,4297016.421383827
0.03,1,116,stage1,4295814.846405733
0.03,1,117,stage1,4294571.1156836925
0.03,1,118,stage1,4293282.464299237
0.03,1,119,stage1,4291950.897762296
0.03,1,120,stage1,4290574.026014513
0.03,1,121,stage1,4289150.485591752
0.03,1,122,stage1,4287678.808706019
0.03,1,123,stage1,4286158.382009123
0.03,1,124,stage1,4284587.698337743
0.03,1,125,stage1,4282965.521946654
0.03,1,126,stage1,4281290.596997869
0.03,1,127,stage1,4279561.647398605
0.03,1,128,stage1,4277777.376639242
0.03,1,129,stage1,4275936.467631286
0.03,1,130,stage1,4274037.582545326
0.03,1,131,stage1,4272079.362649007
0.03,1,132,stage1,4270060.428144976
0.03,1,133,stage1,4267979.378008856
0.03,1,134,stage1,4265834.344582191
0.03,1,135,stage1,4263624.774390454
0.03,1,136,stage1,4261348.756510945
0.03,1,137,stage1,4259004.803390783
0.03,1,138,stage1,4256591.405439877
0.03,1,139,stage1,4254107.030868871
0.03,1,140,stage1,4251550.125527116
0.03,1,141,stage1,4248918.794948094
0.03,1,142,stage1,4246212.075357507
0.03,1,143,stage1,4243428.026756053
0.03,1,144,stage1,4240565.003927507
0.03,1,145,stage1,4237620.311300673
0.03,1,146,stage1,4234594.311521287
0.03,1,147,stage1,4231484.262189056
0.03,1,148,stage1,4228288.424429573
0.03,1,149,stage1,4225004.246990447
0.03,1,150,stage1,4221631.520312626
0.03,1,151,stage1,4218167.645018317
0.03,1,152,stage1,4214610.785982314
0.03,1,153,stage1,4210959.08361161
0.03,1,154,stage1,4207210.65368337
0.03,1,155,stage1,4203363.587182879
0.03,1,156,stage1,4199415.9501415165
0.03,1,157,stage1,4195365.783474707
0.03,1,158,stage1,4191211.1028198944
0.03,1,159,stage1,4186949.8983744895
0.03,1,160,stage1,4182580.1347338413
0.03,1,161,stage1,4178099.7507291967
0.03,1,162,stage1,4173506.6592656584
0.03,1,163,stage1,4168798.7471601525
0.03,1,164,stage1,4163973.874979385
0.03,1,165,stage1,4159029.8768778048
0.03,1,166,stage1,4153964.5604355666
0.03,1,167,stage1,4148775.706496493
0.03,1,168,stage1,4143461.0690060332
0.03,1,169,stage1,4138018.374849226
0.03,1,170,stage1,4132445.3236886626
0.03,1,171,stage1,4126739.587802448
0.03,1,172,stage1,4120898.8119221595
0.03,1,173,stage1,4114920.6130708135
0.03,1,174,stage1,4108802.5804008218
0.03,1,175,stage1,4102542.275031958
0.03,1,176,stage1,4096137.2298893165
0.03,1,177,stage1,4089584.949541273
0.03,1,178,stage1,4082882.3058829657
0.03,1,179,stage1,4076027.9545921874
0.03,1,180,stage1,4069018.7100404496
0.03,1,181,stage1,4061851.961748877
0.03,1,182,stage1,4054525.0700716847
0.03,1,183,stage1,4047035.366034139
0.03,1,184,stage1,4039380.151170522
0.03,1,185,stage1,4031556.697362091
0.03,1,186,stage1,4023562.2466750406
0.03,1,187,stage1,4015394.011198464
0.03,1,188,stage1,4007049.1728823152
0.03,1,189,stage1,3998524.8833753695
0.03,1,190,stage1,3989818.2638631896
0.03,1,191,stage1,3980926.4049060782
0.03,1,192,stage1,3971846.366277049
0.03,1,193,stage1,3962575.1282925457
0.03,1,194,stage1,3953109.7856793553
0.03,1,195,stage1,3943447.256369142
0.03,1,196,stage1,3933584.2910454823
0.03,1,197,stage1,3923518.150914514
0.03,1,198,stage1,3913245.5449819993
0.03,1,199,stage1,3902763.3021332263
0.03,1,200,stage1,3892068.1907984526
0.03,1,1,stage2,1779728.2149791422
0.03,1,2,stage2,1484793.6109228844
0.03,1,3,stage2,1484793.6108254006
0.03,1,4,stage2,1484793.610464571
0.03,1,5,stage2,1484793.6094938891
0.03,1,6,stage2,1484793.6073450826
0.03,1,7,stage2,1484793.6031726743
0.03,1,8,stage2,1484793.5957985395
0.03,1,9,stage2,1484793.583656466
0.03,1,10,stage2,1484793.5647367125
0.03,1,11,stage2,1484793.5365305666
0.03,1,12,stage2,1484793.4959749053
0.03,1,13,stage2,1484793.439396752
0.03,1,14,stage2,1484793.3624578374
0.03,1,15,stage2,1484793.2600991568
0.03,1,16,stage2,1484793.126485529
0.03,1,17,stage2,1484792.9549501562
0.03,1,18,stage2,1484792.7379391822
0.03,1,19,stage2,1410002.2028539337
0.03,1,20,stage2,1404475.874562852
0.03,1,21,stage2,1404475.488164
0.03,1,22,stage2,1404475.0207224397
0.03,1,23,stage2,1404474.4601099556
0.03,1,24,stage2,1404473.7930445112
0.03,1,25,stage2,1404473.0050378055
0.03,1,26,stage2,1404472.080342824
0.03,1,27,stage2,1404471.001901395
0.03,1,28,stage2,1404469.751291741
0.03,1,29,stage2,1404468.3086760337
0.03,1,30,stage2,1404466.6527479473
0.03,1,31,stage2,1404464.760680212
0.03,1,32,stage2,1404462.6080721675
0.03,1,33,stage2,1404460.1688973175
0.03,1,34,stage2,1404457.4154508829
0.03,1,35,stage2,1404454.3182973543
0.03,1,36,stage2,1404450.8462180477
0.03,1,37,stage2,1404446.9661586569
0.03,1,38,stage2,1404442.643176807
0.03,1,39,stage2,1404437.84038961
0.03,1,40,stage2,1404432.5189212146
0.03,1,41,stage2,1404426.6378503644
0.03,1,42,stage2,1404420.154157948
0.03,1,43,stage2,1404413.0226745545
0.03,1,44,stage2,1404405.1960280268
0.03,1,45,stage2,1404396.624591015
0.03,1,46,stage2,1404387.2564285297
0.03,1,47,stage2,1404377.037245498
0.03,1,48,stage2,1404365.9103343126
0.03,1,49,stage2,1404353.8165223906
0.03,1,50,stage2,1404340.694119723
0.03,1,51,stage2,1404326.4788664316
0.03,1,52,stage2,1404311.10388032
0.03,1,53,stage2,1404294.499604429
0.03,1,54,stage2,1404276.5937545893
0.03,1,55,stage2,1404257.3112669764
0.03,1,56,stage2,1404236.5742456622
0.03,1,57,stage2,1404214.3019101704
0.03,1,58,stage2,1404190.4105430301
0.03,1,59,stage2,1404164.8134373287
0.03,1,60,stage2,1404137.4208442646
0.03,1,61,stage2,1404108.1399207045
0.03,1,62,stage2,1404076.8746767326
0.03,1,63,stage2,1404043.5259232074
0.03,1,64,stage2,1404007.9912193136
0.03,1,65,stage2,1403970.1648201174
0.03,1,66,stage2,1403929.9376241178
0.03,1,67,stage2,1403887.1971208032
0.03,1,68,stage2,1403841.8273382022
0.03,1,69,stage2,1403793.708790439
0.03,1,70,stage2,1403742.7184252874
0.03,1,71,stage2,1403688.7295717227
0.03,1,72,stage2,1403631.6118874764
0.03,1,73,stage2,1403571.2313065904
0.03,1,74,stage2,1403507.44998697
0.03,1,75,stage2,1403440.1262579374
0.03,1,76,stage2,1403369.114567785
0.03,1,77,stage2,1403294.265431331
0.03,1,78,stage2,1403215.4253774702
0.03,1,79,stage2,1403132.4368967304
0.03,1,80,stage2,1403045.1383888244
0.03,1,81,stage2,1402953.3641102037
0.03,1,82,stage2,1402856.9441216134
0.03,1,83,stage2,1402755.7042356438
