run_id,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,51,23,0,4,36,0,322.39843800948927,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,53,34,0,8,5,0,300.98343582169514,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,46,16,0,1,51,0,131.88038929881824,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,38,2,34,0,52,1,0,741.8530598011059,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,48,57,0,13,21,0,1781.8472561472554,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,40,46,17,0,5,59,0,1077.4674184489418,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,41,35,18,0,1,57,0,1128.0973051188082,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,42,54,10,0,14,46,0,826.4868753469664,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,43,41,20,0,5,56,0,144.8161126322708,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,44,40,3,0,56,53,0,72.59122591425324,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,1,24,0,47,53,0,1257.4917340924253,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,46,2,22,0,51,43,0,1481.2071570289459,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,10,50,0,58,53,0,1299.0535994992665,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,48,52,58,0,20,13,0,1093.05031132926,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,49,7,51,0,51,13,0,1397.8045632443047,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,51,58,0,18,18,0,1681.6426500943974,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,51,2,30,0,51,16,0,886.7312770531316,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,1,9,0,44,58,0,785.1770175290626,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,53,12,58,0,15,7,0,1383.2001572495492,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,54,49,52,0,25,5,0,114.24859276940941,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,55,59,51,0,8,16,0,3.738843805455816,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,57,59,0,1,27,0,750.6362325527202,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,57,26,57,0,55,7,0,903.3162818199196,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,58,7,2,0,36,52,0,8.346222305551487,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,59,33,51,0,5,9,0,416.89746217495446,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,60,3,28,0,53,20,0,1375.2655698270498,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,61,15,2,0,9,54,0,206.80434017862618,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,62,53,7,0,54,58,0,1409.1146851666133,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,56,21,0,1,46,0,1065.651727130602,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,57,18,0,11,57,0,1663.4458790765673,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,65,2,8,0,45,54,0,737.1428729217761,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,66,4,56,0,29,11,0,399.2553419889882,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,67,54,55,0,2,48,0,196.1782826826641,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,68,46,57,0,16,18,0,65.18555073269543,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,69,14,2,0,54,47,0,1392.665049834394,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,70,9,57,0,1,3,0,1634.4991294703077,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,71,17,9,0,28,59,0,1731.641525786338,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,72,53,46,0,4,21,0,1529.699022469109,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,73,3,53,0,14,2,0,744.4983586817881,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,74,59,59,0,2,50,0,941.1232459800192,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,75,10,3,0,24,49,0,1490.9806627825756,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,76,10,2,0,47,42,0,136.8335192320259,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,77,53,8,0,12,45,0,765.0935359894213,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,78,10,54,0,54,11,0,1144.5120273387943,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,79,38,17,0,3,50,0,164.2163364364248,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,80,6,6,0,47,41,0,468.1943105450218,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,81,57,57,0,6,48,0,1695.6387122375945,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,82,44,45,0,5,1,0,837.9614642882823,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,83,58,33,0,13,56,0,1334.9701526175693,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,84,1,15,0,50,54,0,1014.4168884795607,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,85,47,53,0,22,12,0,992.5273415488853,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,86,30,2,0,37,50,0,944.3565441114032,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,87,11,59,0,58,38,0,956.0407085756614,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,88,56,44,0,20,1,0,744.9632156648738,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,89,3,48,0,48,10,0,974.5175695944857,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,90,23,57,0,53,0,0,1320.984305818518,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,91,47,58,0,36,8,0,97.75396546528823,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,92,3,53,0,55,43,0,1610.0485976940943,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,93,0,38,0,49,23,0,1732.1592310304852,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,94,54,8,0,5,53,0,1042.326306532298,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,95,21,53,0,41,8,0,1553.4042365099451,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,96,59,21,0,4,8,0,396.15490549415944,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,97,26,56,0,59,20,0,1598.0480689465744,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,98,44,7,0,14,56,0,488.3309501188345,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,99,10,4,0,51,54,0,972.8671552003229,10.0
